""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-1566-DD-O"	22364	15282	14198	13911	13911
"BS2-1566-HD-O"	26969	23706	23640	23176	23176
"BS2-1689-DD-O"	32955	22870	22586	22200	22200
"BS2-1689-HD-O"	1345	1207	1176	1155	1155
"BS2-1842-DD-O"	101464	90151	89802	87945	87945
"BS2-1842-HD-O"	6115	3669	3568	3472	3472
"BS2-1925-DD-O"	9051	5205	4479	4410	4410
"BS2-1925-HD-O"	8446	5539	5384	5272	5272
"BS2-2006-DD-O"	7656	4804	4037	3955	3955
"BS2-2006-HD-O"	10820	7444	7359	7249	7249
"BS2-2019-DD-O"	30378	22388	21029	20300	20300
"BS2-2019-HD-O"	9603	4867	4771	4706	4706
"BS2-2048-DD-O"	10451	6854	5781	5657	5657
"BS2-2048-HD-O"	15434	12205	12060	11901	11901
"BS2-2076-DD-O"	304147	294353	289250	258736	258736
"BS2-2076-HD-O"	64854	44601	44171	41677	41677
"BS2-2078-DD-O"	4128	3692	3638	3563	3563
"BS2-2078-HD-O"	97025	82624	81422	79918	79918
"BS2-2079-DD-O"	21353	19730	19603	19386	19386
"BS2-2079-HD-O"	29042	24802	24585	24087	24087
"BS2-2080-DD-O"	6093	5601	5565	5498	5498
"BS2-2091-DD-O"	293293	252196	250679	237311	237311
"BS2-2091-HD-O"	6932	6494	6480	6407	6407
"BS2-2149-DD-O"	18423	15496	15387	15165	15165
"BS2-2149-HD-O"	28212	10898	9595	8908	8908
"BS2-2150-HH-O"	26673	21705	21346	20681	20681
"BS2-2155-DD-O"	115825	96699	95874	92079	92079
"BS2-2155-HD-O"	19707	3972	3793	3532	3532
"BS2-2179-DD-O"	59923	52998	52832	51795	51795
"BS2-2179-HD-O"	19752	15300	15044	14825	14825
"BS2-2180-DD-O"	10183	9040	8953	8808	8808
"BS2-2180-HD-O"	5181	3429	3369	3327	3327
"BS2-2198-DD-O"	5454	4884	4743	4683	4683
"BS2-2407-DD-O"	3313	2469	2293	2208	2208
"BS2-2407-HD-O"	9257	7241	7050	6981	6981
"BS2-2415-DD-O"	118814	107280	106473	99319	99319
"BS2-2415-HD-O"	53580	45604	45186	43871	43871
"BS2-2432-HH-O"	99342	91142	90318	89475	89475
"BS2-2433-DD-O"	14831	13012	12845	12790	12790
"BS2-2433-HD-O"	4717	3866	3821	3788	3788
"BS2-2453-DD-O"	6918	6381	6308	6276	6276
"BS2-2453-HD-O"	6582	3168	3057	2980	2980
"BS2-2460-DD-O"	8238	7564	7520	7501	7501
"BS2-2464-DD-O"	7929	7098	7032	6964	6964
"BS2-2464-HD-O"	18497	3142	2940	2796	2796
"BS2-2474-DD-O"	3234	2372	2237	2161	2161
"BS2-2474-HD-O"	38489	29294	29084	27434	27434
"BS2-2475-DD-O"	338601	321334	320092	307388	307388
"BS2-2475-HD-O"	11431	6323	6150	5969	5969
"BS2-2478-DD-O"	22782	20224	20163	19820	19820
"BS2-2479-DD-O"	76140	60904	60159	56296	56296
"BS2-2479-HD-O"	13876	8683	7683	7530	7530
"BS2-2480-HD-O"	7288	4506	3801	3720	3720
"BS2-2482-DD-O"	24625	21126	20240	19420	19420
"BS2-2482-HD-O"	80354	71701	71448	68159	68159
"BS2-2483-DD-O"	53036	44659	44599	44200	44200
"BS2-2483-HD-O"	12125	9253	9161	8817	8817
"BS2-2499-DD-O"	41635	37140	36896	36004	36004
"BS2-2499-HD-O"	35496	25489	25337	24562	24562
"BS2-2500-DD-O"	49485	45519	44586	43648	43648
"BS2-2500-HD-O"	151781	135271	134513	129535	129535
"BS2-2662-HH-O"	15782	4280	4089	4015	4015
"BS2-2672-HH-O"	80423	73455	71608	68011	68011
"BS2-2673-HH-O"	4131	2939	2909	2829	2829
"BS2-2675-DD-O"	13514	12478	12439	12322	12322
"BS2-2685-DD-O"	4868	3060	2418	2353	2353
"BS2-2685-HD-O"	34513	32158	32037	31260	31260
"BS2-2694-HH-O"	64129	56742	56494	56023	56023
"BS2-Blank-1-O"	57647	53947	53836	52693	52693
